Size,Entropy,Rank
Qwen2.5-3B,106.08415,1.0270312
Qwen2.5-3B,157.8776,0.8571906
Qwen2.5-3B,110.90813,0.8644582
Qwen2.5-3B,107.770065,1.1673498
Qwen2.5-3B,113.449295,1.2386231
Qwen2.5-3B,140.71667,0.77223766
Qwen2.5-3B,111.12746,0.8717622
Qwen2.5-3B,105.64049,1.0327103
Qwen2.5-3B,112.26113,1.0925539
Qwen2.5-3B,127.56755,0.8456316
Qwen2.5-3B,108.44844,0.8684877
Qwen2.5-3B,107.72519,1.1609268
Qwen2.5-3B,109.66188,0.83873284
Qwen2.5-3B,106.36228,0.8465097
Qwen2.5-3B,111.209206,0.7808845
Qwen2.5-3B,108.24156,1.1460443
Qwen2.5-3B,106.95029,1.0346032
Qwen2.5-3B,133.76717,0.8641594
Qwen2.5-3B,110.57143,0.851561
Qwen2.5-3B,111.37838,1.2853024
Qwen2.5-3B,115.65459,0.8462506
Qwen2.5-3B,130.99701,0.80870867
Qwen2.5-3B,107.72944,0.7915877
Qwen2.5-3B,109.53049,1.2226372
Qwen2.5-3B,115.60062,0.96864444
Qwen2.5-3B,129.74722,0.86086607
Qwen2.5-3B,112.354675,0.8500495
Qwen2.5-3B,114.573715,1.344701
Qwen2.5-3B,110.13909,0.9511119
Qwen2.5-3B,133.59055,0.8642478
Qwen2.5-3B,111.145645,0.8388699
Qwen2.5-3B,113.2395,1.3338828
Qwen2.5-3B,105.08222,0.85269266
Qwen2.5-3B,129.29855,0.91346455
Qwen2.5-3B,111.03563,0.85126954
Qwen2.5-3B,102.82433,1.3316042
Qwen2.5-3B,119.223526,0.8322411
Qwen2.5-3B,127.29005,0.87189263
Qwen2.5-3B,111.47068,0.8373241
Qwen2.5-3B,106.15639,1.2401687
Qwen2.5-3B,111.638306,0.69672847
Qwen2.5-3B,130.57086,1.0794823
Qwen2.5-3B,108.44601,0.79324305
Qwen2.5-3B,101.01346,1.2872579
Qwen2.5-3B,105.055695,0.5754953
Qwen2.5-3B,134.01573,1.1868318
Qwen2.5-3B,105.960976,0.6520913
Qwen2.5-3B,104.89232,1.9988575
Qwen2.5-3B,116.32027,0.82187444
Qwen2.5-3B,137.77245,0.91653544
Qwen2.5-3B,111.00627,0.77852523
Qwen2.5-3B,108.314804,1.6439703
Qwen2.5-3B,110.52516,0.82680875
Qwen2.5-3B,145.10294,0.97124976
Qwen2.5-3B,112.85951,0.8027636
Qwen2.5-3B,106.47821,1.5634267
Qwen2.5-3B,113.17174,2.1959689
Qwen2.5-3B,130.76259,0.8491217
Qwen2.5-3B,107.562164,1.2638185
Qwen2.5-3B,109.063354,0.7350365
Qwen2.5-3B,112.428635,1.6459124
Qwen2.5-3B,120.761246,0.7954647
Qwen2.5-3B,110.93494,0.9116218
Qwen2.5-3B,109.87297,0.81533164
Qwen2.5-3B,110.64088,1.1335709
Qwen2.5-3B,125.27878,0.8658178
Qwen2.5-3B,112.08212,0.89921886
Qwen2.5-3B,108.84314,1.198627
Qwen2.5-3B,111.499725,1.156305
Qwen2.5-3B,125.896965,0.8648442
Qwen2.5-3B,110.288734,0.91428065
Qwen2.5-3B,110.64378,1.2124143
Qwen2.5-3B,110.146225,1.1866114
Qwen2.5-3B,126.82249,0.86945486
Qwen2.5-3B,108.557526,0.9025101
Qwen2.5-3B,103.05333,1.1761463
Qwen2.5-3B,121.60689,1.4046366
Qwen2.5-3B,118.33917,0.8005368
Qwen2.5-3B,112.825455,0.9356456
Qwen2.5-3B,113.34233,0.95195615
Qwen2.5-3B,113.85553,1.2817013
Qwen2.5-3B,129.91891,0.8592169
Qwen2.5-3B,112.504135,0.9570862
Qwen2.5-3B,106.68471,1.1450269
Qwen2.5-3B,111.39015,1.2377801
Qwen2.5-3B,129.81586,0.8405855
Qwen2.5-3B,105.828735,0.91457796
Qwen2.5-3B,115.18483,1.0771066
Qwen2.5-3B,116.32446,1.2461846
Qwen2.5-3B,138.04797,0.89301294
Qwen2.5-3B,111.04225,0.9544156
Qwen2.5-3B,115.88051,1.1305208
Qwen2.5-3B,104.46147,1.0950454
Qwen2.5-3B,128.19394,0.8022146
Qwen2.5-3B,109.99417,0.84530926
Qwen2.5-3B,106.62694,1.0320568
Qwen2.5-3B,118.69381,1.1596174
Qwen2.5-3B,127.99777,0.8358755
Qwen2.5-3B,112.5419,0.9012152
Qwen2.5-3B,112.4583,1.1176648
Qwen2.5-3B,119.58826,1.1990434
Qwen2.5-3B,131.01892,0.75830364
Qwen2.5-3B,111.03994,0.82759273
Qwen2.5-3B,108.7899,0.95316267
Qwen2.5-3B,109.54198,1.4751855
Qwen2.5-3B,122.48214,0.7748686
Qwen2.5-3B,114.09401,0.9065607
Qwen2.5-3B,101.35901,0.83406824
Qwen2.5-3B,112.38228,0.93346626
Qwen2.5-3B,129.31569,0.83312637
Qwen2.5-3B,109.70998,0.7854088
Qwen2.5-3B,110.043564,1.0785133
Qwen2.5-3B,122.993164,1.0617138
Qwen2.5-3B,136.06714,0.8266174
Qwen2.5-3B,110.40937,0.8387378
Qwen2.5-3B,108.098885,1.1081296
Qwen2.5-3B,109.84349,1.543661
Qwen2.5-3B,129.26657,0.7941913
Qwen2.5-3B,109.42105,1.0174625
Qwen2.5-3B,109.73851,0.7269473
Qwen2.5-3B,117.34979,1.4349601
Qwen2.5-3B,117.3432,0.8340653
Qwen2.5-3B,112.362,0.99248606
Qwen2.5-3B,116.78255,0.9607913
Qwen2.5-3B,118.8162,1.3213913
Qwen2.5-3B,117.74996,0.75556874
Qwen2.5-3B,108.70586,0.91679424
Qwen2.5-3B,110.1827,1.0384159
Qwen2.5-3B,111.776794,1.3558131
Qwen2.5-3B,116.99133,0.9074935
Qwen2.5-3B,111.91315,0.9865595
Qwen2.5-3B,112.07062,0.99694
Qwen2.5-3B,109.87202,1.1288104
Qwen2.5-3B,123.48959,0.8655949
Qwen2.5-3B,112.601265,0.9278992
Qwen2.5-3B,103.182755,1.0849869
Qwen2.5-3B,115.215866,1.2498628
Qwen2.5-3B,124.214966,0.9104291
Qwen2.5-3B,111.8183,0.96715283
Qwen2.5-3B,110.56153,1.110621
Qwen2.5-3B,116.05064,1.4006306
Qwen2.5-3B,125.36517,0.8939215
